id,locale,cluster,intent,query,page_type,source_market,priority,notes
kw-0261,de,hybrid,spec,"Toyota Prius technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0262,de,hybrid,review,"Toyota Prius testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0263,de,hybrid,compare,"Toyota Prius vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0264,de,hybrid,ownership,"Toyota Prius unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0265,de,minivan,spec,"Toyota Alphard technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0266,de,minivan,review,"Toyota Alphard testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0267,de,minivan,compare,"Toyota Alphard vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0268,de,minivan,ownership,"Toyota Alphard unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0269,de,suv-offroad,spec,"Toyota Land Cruiser technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0270,de,suv-offroad,review,"Toyota Land Cruiser testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0271,de,suv-offroad,compare,"Toyota Land Cruiser vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0272,de,suv-offroad,ownership,"Toyota Land Cruiser unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0273,de,c-segment-sedan,spec,"Honda Civic technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0274,de,c-segment-sedan,review,"Honda Civic testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0275,de,c-segment-sedan,compare,"Honda Civic vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0276,de,c-segment-sedan,ownership,"Honda Civic unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0277,de,kei,spec,"Honda N-Box technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0278,de,kei,review,"Honda N-Box testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0279,de,kei,compare,"Honda N-Box vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0280,de,kei,ownership,"Honda N-Box unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0281,de,minivan,spec,"Honda Stepwgn technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0282,de,minivan,review,"Honda Stepwgn testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0283,de,minivan,compare,"Honda Stepwgn vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0284,de,minivan,ownership,"Honda Stepwgn unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0285,de,minivan,spec,"Nissan Serena technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0286,de,minivan,review,"Nissan Serena testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0287,de,minivan,compare,"Nissan Serena vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0288,de,minivan,ownership,"Nissan Serena unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0289,de,suv,spec,"Nissan X-Trail technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0290,de,suv,review,"Nissan X-Trail testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0291,de,suv,compare,"Nissan X-Trail vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0292,de,suv,ownership,"Nissan X-Trail unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0293,de,suv,spec,"Mazda CX-5 technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0294,de,suv,review,"Mazda CX-5 testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0295,de,suv,compare,"Mazda CX-5 vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0296,de,suv,ownership,"Mazda CX-5 unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0297,de,suv-awd,spec,"Subaru Forester technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0298,de,suv-awd,review,"Subaru Forester testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0299,de,suv-awd,compare,"Subaru Forester vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0300,de,suv-awd,ownership,"Subaru Forester unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0301,de,kei-offroad,spec,"Suzuki Jimny technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0302,de,kei-offroad,review,"Suzuki Jimny testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0303,de,kei-offroad,compare,"Suzuki Jimny vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0304,de,kei-offroad,ownership,"Suzuki Jimny unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0305,de,minivan-awd,spec,"Mitsubishi Delica D:5 technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0306,de,minivan-awd,review,"Mitsubishi Delica D:5 testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0307,de,minivan-awd,compare,"Mitsubishi Delica D:5 vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0308,de,minivan-awd,ownership,"Mitsubishi Delica D:5 unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0309,de,luxury-suv,spec,"Lexus RX technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0310,de,luxury-suv,review,"Lexus RX testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0311,de,luxury-suv,compare,"Lexus RX vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0312,de,luxury-suv,ownership,"Lexus RX unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0313,de,luxury-suv,spec,"Lexus NX technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0314,de,luxury-suv,review,"Lexus NX testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0315,de,luxury-suv,compare,"Lexus NX vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0316,de,luxury-suv,ownership,"Lexus NX unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0317,de,van,spec,"Toyota HiAce technische daten",spec,japan,p3,localized-from-ja-with-market-notes
kw-0318,de,van,review,"Toyota HiAce testbericht",review,japan,p3,localized-from-ja-with-market-notes
kw-0319,de,van,compare,"Toyota HiAce vergleich",compare,japan,p3,localized-from-ja-with-market-notes
kw-0320,de,van,ownership,"Toyota HiAce unterhaltskosten",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0321,fr,c-segment-sedan,spec,"fiche technique Toyota Corolla",spec,japan,p3,localized-from-ja-with-market-notes
kw-0322,fr,c-segment-sedan,review,"essai Toyota Corolla",review,japan,p3,localized-from-ja-with-market-notes
kw-0323,fr,c-segment-sedan,compare,"Toyota Corolla comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0324,fr,c-segment-sedan,ownership,"cout entretien Toyota Corolla",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0325,fr,hybrid,spec,"fiche technique Toyota Prius",spec,japan,p3,localized-from-ja-with-market-notes
kw-0326,fr,hybrid,review,"essai Toyota Prius",review,japan,p3,localized-from-ja-with-market-notes
kw-0327,fr,hybrid,compare,"Toyota Prius comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0328,fr,hybrid,ownership,"cout entretien Toyota Prius",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0329,fr,minivan,spec,"fiche technique Toyota Alphard",spec,japan,p3,localized-from-ja-with-market-notes
kw-0330,fr,minivan,review,"essai Toyota Alphard",review,japan,p3,localized-from-ja-with-market-notes
kw-0331,fr,minivan,compare,"Toyota Alphard comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0332,fr,minivan,ownership,"cout entretien Toyota Alphard",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0333,fr,suv-offroad,spec,"fiche technique Toyota Land Cruiser",spec,japan,p3,localized-from-ja-with-market-notes
kw-0334,fr,suv-offroad,review,"essai Toyota Land Cruiser",review,japan,p3,localized-from-ja-with-market-notes
kw-0335,fr,suv-offroad,compare,"Toyota Land Cruiser comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0336,fr,suv-offroad,ownership,"cout entretien Toyota Land Cruiser",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0337,fr,c-segment-sedan,spec,"fiche technique Honda Civic",spec,japan,p3,localized-from-ja-with-market-notes
kw-0338,fr,c-segment-sedan,review,"essai Honda Civic",review,japan,p3,localized-from-ja-with-market-notes
kw-0339,fr,c-segment-sedan,compare,"Honda Civic comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0340,fr,c-segment-sedan,ownership,"cout entretien Honda Civic",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0341,fr,kei,spec,"fiche technique Honda N-Box",spec,japan,p3,localized-from-ja-with-market-notes
kw-0342,fr,kei,review,"essai Honda N-Box",review,japan,p3,localized-from-ja-with-market-notes
kw-0343,fr,kei,compare,"Honda N-Box comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0344,fr,kei,ownership,"cout entretien Honda N-Box",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0345,fr,minivan,spec,"fiche technique Honda Stepwgn",spec,japan,p3,localized-from-ja-with-market-notes
kw-0346,fr,minivan,review,"essai Honda Stepwgn",review,japan,p3,localized-from-ja-with-market-notes
kw-0347,fr,minivan,compare,"Honda Stepwgn comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0348,fr,minivan,ownership,"cout entretien Honda Stepwgn",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0349,fr,minivan,spec,"fiche technique Nissan Serena",spec,japan,p3,localized-from-ja-with-market-notes
kw-0350,fr,minivan,review,"essai Nissan Serena",review,japan,p3,localized-from-ja-with-market-notes
kw-0351,fr,minivan,compare,"Nissan Serena comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0352,fr,minivan,ownership,"cout entretien Nissan Serena",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0353,fr,suv,spec,"fiche technique Nissan X-Trail",spec,japan,p3,localized-from-ja-with-market-notes
kw-0354,fr,suv,review,"essai Nissan X-Trail",review,japan,p3,localized-from-ja-with-market-notes
kw-0355,fr,suv,compare,"Nissan X-Trail comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0356,fr,suv,ownership,"cout entretien Nissan X-Trail",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0357,fr,suv,spec,"fiche technique Mazda CX-5",spec,japan,p3,localized-from-ja-with-market-notes
kw-0358,fr,suv,review,"essai Mazda CX-5",review,japan,p3,localized-from-ja-with-market-notes
kw-0359,fr,suv,compare,"Mazda CX-5 comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0360,fr,suv,ownership,"cout entretien Mazda CX-5",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0361,fr,suv-awd,spec,"fiche technique Subaru Forester",spec,japan,p3,localized-from-ja-with-market-notes
kw-0362,fr,suv-awd,review,"essai Subaru Forester",review,japan,p3,localized-from-ja-with-market-notes
kw-0363,fr,suv-awd,compare,"Subaru Forester comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0364,fr,suv-awd,ownership,"cout entretien Subaru Forester",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0365,fr,kei-offroad,spec,"fiche technique Suzuki Jimny",spec,japan,p3,localized-from-ja-with-market-notes
kw-0366,fr,kei-offroad,review,"essai Suzuki Jimny",review,japan,p3,localized-from-ja-with-market-notes
kw-0367,fr,kei-offroad,compare,"Suzuki Jimny comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0368,fr,kei-offroad,ownership,"cout entretien Suzuki Jimny",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0369,fr,minivan-awd,spec,"fiche technique Mitsubishi Delica D:5",spec,japan,p3,localized-from-ja-with-market-notes
kw-0370,fr,minivan-awd,review,"essai Mitsubishi Delica D:5",review,japan,p3,localized-from-ja-with-market-notes
kw-0371,fr,minivan-awd,compare,"Mitsubishi Delica D:5 comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0372,fr,minivan-awd,ownership,"cout entretien Mitsubishi Delica D:5",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0373,fr,luxury-suv,spec,"fiche technique Lexus RX",spec,japan,p3,localized-from-ja-with-market-notes
kw-0374,fr,luxury-suv,review,"essai Lexus RX",review,japan,p3,localized-from-ja-with-market-notes
kw-0375,fr,luxury-suv,compare,"Lexus RX comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0376,fr,luxury-suv,ownership,"cout entretien Lexus RX",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0377,fr,luxury-suv,spec,"fiche technique Lexus NX",spec,japan,p3,localized-from-ja-with-market-notes
kw-0378,fr,luxury-suv,review,"essai Lexus NX",review,japan,p3,localized-from-ja-with-market-notes
kw-0379,fr,luxury-suv,compare,"Lexus NX comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0380,fr,luxury-suv,ownership,"cout entretien Lexus NX",ownership,japan,p3,localized-from-ja-with-market-notes
kw-0381,fr,van,spec,"fiche technique Toyota HiAce",spec,japan,p3,localized-from-ja-with-market-notes
kw-0382,fr,van,review,"essai Toyota HiAce",review,japan,p3,localized-from-ja-with-market-notes
kw-0383,fr,van,compare,"Toyota HiAce comparaison",compare,japan,p3,localized-from-ja-with-market-notes
kw-0384,fr,van,ownership,"cout entretien Toyota HiAce",ownership,japan,p3,localized-from-ja-with-market-notes
